metric_id,stat_date,impressions,clicks,engagements,reach,booking_requests,confirmed_bookings,revenue,placement_id
1,2023-11-24,122958,4922,325,91773,6315,562,427893.46,1
2,2023-11-25,375871,6522,859,153851,1735,111,416138.39,1
3,2023-11-29,328069,3741,864,283199,3435,622,1520014.11,1
4,2023-11-30,393752,10518,1810,267628,2797,396,1010716.71,1
5,2023-12-03,85654,2681,380,26963,1578,97,313693.33,1
6,2023-12-18,490492,11317,549,418083,8483,1241,709663.54,1
7,2023-12-19,253801,8763,1259,200498,825,48,220413.21,1
8,2023-12-21,486283,4828,3792,354145,3893,374,1818810.93,1
9,2023-12-23,466625,10750,2126,239286,7679,760,534677.33,1
10,2023-12-24,56591,2398,437,34239,9318,1832,8873564.75,1
11,2023-12-26,433315,11956,982,181208,114,6,14431.84,1
12,2023-12-29,456808,4904,479,273372,5668,1285,4857983.95,1
13,2024-01-03,130312,3999,1216,103598,6234,1737,7512826.54,1
14,2024-01-06,472819,8139,743,219218,9046,2102,7081656.12,1
15,2024-01-07,25538,727,113,15771,3890,896,1399491.2,1
16,2024-01-09,374133,9426,2134,330365,6027,339,334088.37,1
17,2024-01-17,246310,11057,1300,184580,6069,1680,2724649.25,1
18,2024-01-19,450260,12360,1273,178663,9839,2049,9059802.37,1
19,2024-01-20,358403,4194,1701,281533,5500,720,755564.97,1
20,2024-01-21,416192,6901,828,253233,1356,212,886386.09,1
21,2024-01-27,56016,892,139,22334,4463,470,488515.25,1
22,2024-01-28,390803,5065,982,178327,1545,348,743443.96,1
23,2024-01-30,440792,5925,1420,197555,7604,952,1696256.68,1
24,2024-02-02,94264,1326,922,75602,904,108,495417.22,1
25,2024-02-03,258426,8878,1493,203184,5841,1099,3480681.65,1
26,2024-02-05,184734,7078,579,80762,4439,630,2107587.03,1
27,2024-02-10,459949,9448,3839,160655,8850,775,2159843.23,1
28,2024-02-12,52663,157,332,39280,6596,1502,6222417.57,1
29,2024-02-13,143483,4679,368,127940,2009,294,1386293.78,1
30,2024-02-14,300648,10254,2290,202755,5584,1503,2496088.2,1
31,2024-02-16,309987,2967,3050,240439,2099,627,3037430.7,1
32,2024-02-21,284076,12817,1902,92622,3220,724,3120422.0,1
33,2024-02-23,5499,244,44,2276,1698,153,695154.56,1
34,2024-02-26,455483,13415,1981,349734,2250,115,140718.17,1
35,2024-02-27,120121,2978,604,86144,8402,458,1246914.95,1
36,2024-03-02,481047,18076,3293,230730,4785,919,846892.0,1
37,2024-03-04,172890,5563,562,131776,3486,598,2737311.84,1
38,2024-03-06,293890,11739,1623,259029,9201,2447,3758185.08,1
39,2024-03-07,206615,3049,251,171600,7729,728,3444942.32,1
40,2024-03-15,306628,4506,2744,255695,1110,313,759597.37,1
41,2024-03-17,439452,12762,4316,255854,240,30,40772.99,1
42,2024-03-25,182408,3015,460,89306,5904,1541,7219701.74,1
43,2024-03-26,446101,2570,2915,151900,3059,347,634596.25,1
44,2024-03-30,177089,6605,1287,131195,7393,1391,2551505.24,1
45,2024-03-31,443905,18064,3907,272959,7021,1248,3440515.51,1
46,2024-04-06,333460,3507,546,170069,9213,2502,1561937.23,1
47,2024-04-07,33097,185,205,10782,4196,698,2053446.8,1
48,2024-04-08,182372,7679,1594,85735,9957,594,1107628.72,1
49,2024-04-14,409554,2959,2334,273446,5741,596,1968592.26,1
50,2024-04-18,88235,3728,242,58563,4192,942,1057478.76,1
51,2024-04-22,237175,11578,1339,154765,9924,2469,4243581.73,1
52,2024-04-24,29251,1095,95,17083,5999,1553,5640315.74,1
53,2024-04-29,75740,291,699,30527,5287,1208,4192832.94,1
54,2024-05-01,115548,3729,652,64039,9712,1543,5840527.99,1
55,2024-05-05,467882,6147,1966,284720,7303,391,399729.81,1
56,2024-05-07,448556,2518,1705,213347,6667,1152,3030477.66,1
57,2024-05-08,456968,10861,3129,160139,2899,334,190002.72,1
58,2024-05-09,373370,9578,3251,121551,4661,950,4510136.61,1
59,2024-05-16,163049,374,1022,109804,901,174,390937.05,1
60,2024-05-17,429411,3133,3564,222433,5782,1193,5000961.51,1
61,2024-05-27,332593,3700,1152,138271,3423,186,172048.76,1
62,2024-06-02,101386,1773,699,53547,9867,1333,2230276.13,1
63,2024-06-06,283502,1925,2061,242214,462,27,64280.44,1
64,2024-06-07,221156,3277,574,85234,3017,759,3762570.31,1
65,2024-06-08,86999,631,282,61010,9929,2648,8019203.5,1
66,2024-06-14,307955,6781,2389,205242,2964,224,1021773.33,1
67,2024-06-15,15397,390,69,9111,748,56,41478.29,1
68,2024-06-25,196004,8891,357,94071,767,168,448785.84,1
69,2024-06-27,455137,14546,2292,239336,7242,1364,1987723.82,1
70,2024-06-28,119324,4747,967,57342,5355,344,1022670.71,1
71,2024-06-30,10348,384,61,7950,6781,1505,6420837.84,1
72,2024-07-01,204664,1218,359,108131,1241,84,352663.1,1
