booking_id,placement_id
5622,647
145131,650
3976,833
220564,466
358972,72
298738,789
279956,368
297817,367
321514,691
228582,822
81582,855
132970,878
63185,796
92823,330
303036,55
269821,295
336158,741
85867,963
227217,323
324449,255
392545,318
301223,289
230385,912
198593,629
133946,872
28613,871
208233,504
83620,160
228339,273
343746,438
388382,512
24101,727
308010,242
257164,936
40791,705
106197,252
24334,787
266661,585
278580,146
52003,330
393775,257
40142,524
330076,549
320043,807
339175,981
366350,875
3550,584
3737,615
373986,867
62468,767
23662,160
214395,508
187452,639
72036,940
249857,257
314775,963
8112,54
93538,273
218470,748
183493,80
169571,523
97446,532
130058,140
299486,198
325808,476
380522,595
269650,8
342590,321
212828,274
273509,744
330724,301
47219,41
126708,342
143135,399
37425,910
169996,251
212580,122
119920,63
168038,29
34861,159
16206,523
389387,216
217644,178
98015,856
26734,979
153551,21
230538,648
329844,788
49231,407
49641,774
36210,791
313715,332
314271,122
40437,639
315880,279
90128,64
2918,776
302990,933
99850,806
39529,474
354940,40
396964,853
140332,705
44683,686
69662,5
171390,763
104457,322
127147,6
141006,705
64896,535
92622,147
203807,444
375967,108
211413,367
379206,337
193327,78
360649,535
138311,199
209726,443
239793,976
364480,296
132722,469
182254,307
58662,606
3182,246
49498,121
159622,53
39724,651
284315,436
75394,297
25631,4
358472,195
135089,955
184865,373
201084,950
59053,706
252806,541
54531,593
140377,665
9127,105
397902,966
240177,768
2539,559
324262,945
80804,708
327112,936
311509,940
291458,396
222403,335
337406,756
222920,591
259751,177
15500,567
383851,82
158451,639
389309,290
301565,640
143327,292
114676,405
48558,563
71714,77
229354,559
198465,196
205228,976
8210,592
32349,23
72460,788
318036,72
295579,504
150709,948
267288,646
70648,200
318731,569
399831,541
250706,829
304294,559
33666,494
121318,353
279253,913
23687,679
284996,501
386236,21
345225,196
356221,349
296884,984
103258,49
261822,63
155833,984
181380,434
206771,670
119295,845
296341,935
175133,676
160154,322
207557,825
98635,97
35471,924
173696,498
112768,930
200331,289
377356,344
77720,5
108923,408
127729,621
263569,887
368658,559
111927,963
41915,831
119932,571
170505,581
306788,309
326181,412
277314,724
136670,402
60191,446
207903,250
303090,590
94940,310
393761,651
389702,193
200833,845
55614,26
274418,198
185862,462
110407,663
327599,383
164073,298
32086,523
290200,25
343427,399
85253,565
165797,521
89464,201
7599,360
304963,716
90134,798
157122,51
169492,612
133466,252
203819,188
376012,950
397200,606
47113,536
257455,508
333505,163
178247,76
317545,969
315289,247
372468,847
166122,150
110430,763
94533,996
308153,817
324024,520
119870,896
68368,68
75969,650
112745,962
246777,85
354512,310
210437,791
293191,115
7897,8
261245,453
143317,620
183437,891
162774,110
189155,988
97770,799
117411,304
209706,699
222652,893
43999,810
230502,645
132449,261
3595,510
98213,147
242287,814
351998,436
86022,326
313845,853
264827,438
104407,474
357560,647
244780,847
363328,727
19207,340
8865,420
127651,540
353186,753
91526,954
52592,961
189998,278
212292,542
949,16
53372,942
243473,60
151625,402
283943,230
131724,923
6944,124
361783,441
198764,920
307033,372
316889,212
6299,361
240411,417
379536,831
158634,75
214226,675
328270,38
155979,466
372664,770
321246,516
46157,129
358066,254
67276,65
77783,532
281903,406
149662,702
36022,140
278361,510
56547,543
263329,512
228864,302
31157,43
140024,670
387054,871
366750,902
4482,384
353997,881
194809,957
455,290
220873,137
64725,743
382990,578
153204,711
326355,272
219391,417
352068,811
272042,123
241744,374
359368,350
395664,121
317632,790
312361,827
218670,512
352852,489
27577,130
935,789
295213,857
130502,556
47044,425
276969,742
217847,70
157066,956
398645,328
74444,888
291693,253
201062,778
215123,386
43059,720
340408,786
362750,51
333828,894
330788,379
297169,676
350317,719
133960,185
360244,644
381823,553
281029,523
293037,948
144156,806
39792,436
228597,880
109475,317
13124,473
111133,571
138390,29
161525,76
261818,279
180090,656
66910,817
268905,517
48872,738
121098,131
222966,98
56222,144
55743,603
229301,821
387644,745
257169,304
100983,873
313244,875
133566,500
365667,490
76143,571
139687,977
199639,967
293620,709
39148,375
294603,493
212859,213
355242,860
345094,177
318334,998
358169,182
145372,679
273891,487
32694,689
4681,977
162459,535
319729,769
94509,717
186696,247
303170,981
123476,541
134842,75
306446,286
226191,550
77721,19
178017,937
36289,450
189087,990
62439,244
368972,468
282719,596
383818,610
118840,726
374534,48
361316,822
210795,545
385522,72
59260,475
198154,568
39064,105
24185,418
57509,420
207012,354
381306,697
202613,354
97117,122
77399,797
258039,331
148398,895
323554,383
115711,199
6831,343
128954,428
16532,76
83041,443
128445,130
382958,121
22892,585
323616,173
67665,802
381084,568
2308,882
57267,724
229457,979
287728,453
170339,731
267381,139
268355,370
287281,479
233530,472
131551,352
215166,153
343586,298
112020,311
375980,858
16145,457
221932,230
8313,676
49843,673
220966,922
104815,172
236312,908
220946,772
143545,745
276296,365
9825,545
291048,959
56183,932
93251,519
357809,998
149831,766
149660,195
180909,153
382190,417
285215,999
371039,927
163027,708
26315,295
213872,949
319214,372
109878,587
62444,821
334509,770
1174,847
351526,136
137164,179
103074,194
251500,720
31614,850
126980,340
19233,186
377463,317
69166,631
329347,31
246204,25
225413,837
94535,924
262518,191
150663,527
201385,203
65418,125
32207,221
248627,818
164847,802
260563,580
154090,323
358853,705
117412,174
222926,435
196521,64
365180,452
86697,223
171570,251
62903,647
220953,96
267635,385
282460,811
1675,662
282802,17
96397,127
204074,999
167707,853
24676,936
58752,272
90436,631
48909,936
172402,623
173743,123
172006,973
387453,10
121148,734
207743,1000
66874,885
130454,261
73947,819
40804,56
194982,949
269640,995
336658,491
181058,27
303710,869
298389,559
217233,101
155675,824
167134,743
200292,47
152003,486
134783,375
89483,451
342434,804
180450,475
114703,835
118971,383
43961,535
156542,870
10078,758
297178,138
142726,383
43784,289
134529,894
372297,78
32834,557
109444,567
296398,703
393124,421
153552,644
275627,271
96727,765
350973,637
123559,588
160102,667
134755,846
112417,660
214255,974
46218,311
179566,831
378111,498
179402,24
73747,901
53218,289
136129,583
353634,632
209174,767
131558,639
383716,807
178893,327
189915,174
61596,467
28700,50
200654,569
100654,762
355352,640
81889,466
169962,262
234046,83
217947,25
10056,898
232742,384
380896,9
183334,684
266795,749
213420,457
355510,885
372806,619
102645,102
105665,763
133604,751
147786,962
41536,693
257994,960
3163,625
357428,678
69091,627
50539,451
74588,499
49107,41
188540,637
22912,337
236014,136
391511,767
247987,811
233078,440
236058,408
175127,966
249365,710
362214,839
93868,670
10722,633
320171,54
83584,910
171820,668
323387,640
343234,241
299666,501
78039,695
294399,406
76904,59
65686,54
103421,745
219408,832
87915,815
13423,252
271004,357
134052,934
184662,730
371448,439
314579,414
131323,636
46145,723
296074,258
53744,86
215516,240
201762,962
110182,246
29098,492
134112,953
267676,780
195078,523
4323,654
246439,851
31652,838
208172,518
221352,218
261089,787
156253,117
40808,101
169624,91
345802,533
239964,966
375598,265
346331,839
71759,741
377945,195
84841,129
159382,634
269701,531
39222,64
254482,362
210584,372
276872,516
255427,148
27543,961
153242,440
128278,504
86762,905
350949,166
353970,880
76242,690
303482,600
332537,588
162653,865
254140,722
226722,444
1253,470
20323,812
69942,434
307680,815
386268,372
22138,241
28241,954
231235,766
146234,763
317438,298
386503,184
296376,52
163538,562
298651,700
238449,262
138088,469
237992,331
39477,354
170234,294
366511,187
323615,340
283593,655
204293,501
211349,570
72474,30
207393,840
359798,486
101368,58
3329,550
286325,459
168403,195
83804,671
252840,618
359455,284
100698,392
15858,261
187617,99
71419,565
315798,154
335603,402
123232,23
333683,16
90474,160
208604,504
153786,346
118582,4
184515,949
118790,289
117138,712
306432,980
155496,588
375977,154
128136,647
215163,61
76459,849
382391,268
226485,633
221571,118
160366,353
54601,116
35707,521
379203,909
306002,250
245283,18
156066,174
38497,603
258288,55
191182,414
81926,985
323379,251
15771,679
52587,124
244422,806
343485,44
180716,254
108004,534
112717,701
314221,347
13948,221
239771,796
89216,490
5434,220
295538,421
164661,997
180234,405
391600,886
317673,697
134604,329
46859,693
238425,617
227866,871
197446,770
240681,285
6718,596
312812,488
225432,83
303239,769
20825,414
316573,621
341884,345
298503,876
108149,612
307602,290
279144,190
255471,286
131447,137
374225,943
132538,58
333483,380
377632,650
339711,322
199068,544
293138,680
25501,532
229441,576
121377,104
399818,49
23942,644
83730,320
335589,436
234684,178
340868,831
23732,753
363182,678
285133,969
331587,672
240071,954
224038,472
253598,739
27528,544
136378,682
246659,678
101515,13
367195,486
222322,132
321101,925
235438,347
72291,81
208162,196
203013,118
241985,11
56669,398
178094,694
303714,448
40369,442
36773,149
201422,349
392668,358
230264,658
311614,319
173966,443
329594,129
133692,285
31335,187
88587,905
381697,8
379803,611
5823,103
2020,642
81979,899
326017,746
301329,559
390675,695
180679,630
66816,698
241705,162
60282,296
187975,663
121933,709
7378,26
325952,191
95068,604
365403,637
356792,861
111636,316
163374,231
394898,1
291282,770
62063,183
320516,653
349128,346
1427,737
341460,598
293206,889
209167,777
330725,999
101060,221
203673,579
34434,228
209496,617
1539,521
375022,381
270092,138
199201,694
245462,518
276490,895
60003,905
336471,56
141579,939
32053,169
95403,468
95613,734
62379,455
56490,255
77827,264
274652,745
362313,615
183489,8
218708,544
227728,696
329609,233
345083,255
161803,732
292867,267
155934,150
209872,433
298576,941
246442,433
187595,917
95592,697
124449,826
115961,648
359973,407
111931,422
136150,464
112166,524
373262,165
173295,609
112709,739
321355,106
251259,456
126561,904
104472,300
122344,773
166470,556
334690,881
391091,582
112200,751
195300,71
42028,916
282899,109
31133,496
146456,355
24503,828
164956,800
313924,352
182617,901
358699,303
178855,632
139277,605
95846,787
126094,382
269596,110
169010,708
381201,963
30582,573
67940,800
278129,783
260484,162
52115,318
198915,490
392381,327
346149,7
121745,209
199337,336
187758,892
177314,99
135501,756
86654,583
227611,77
345506,745
218848,893
84925,761
398153,766
193316,757
98811,875
127762,963
6297,550
4659,835
162875,310
388001,511
87819,641
242098,239
285264,810
342591,728
23133,18
58282,839
82277,37
280147,527
64397,944
388469,769
120805,20
225781,44
129251,692
14588,328
303817,982
259706,50
307795,629
228909,395
223103,594
147809,168
388615,605
374230,341
189666,83
106232,465
272401,963
295921,597
289804,746
353617,165
134474,704
306792,243
215863,979
256310,609
223594,586
162189,342
75198,851
394587,604
328367,502
345803,390
55785,572
222814,397
330139,969
360182,238
23103,486
140258,578
284152,468
277621,299
19466,261
279272,417
143514,463
248720,378
25954,573
102635,797
264606,478
91985,117
38271,818
276419,155
332009,872
362408,515
296399,423
65860,225
99561,840
258719,274
327216,614
308405,483
34915,479
166526,630
60577,590
306434,296
281930,808
320616,986
274377,755
316800,924
193145,433
43353,208
143391,889
351178,345
373474,814
308227,114
302238,554
321211,747
332671,266
356703,924
228162,573
66094,362
59560,818
127925,191
157738,843
136473,540
187817,913
42397,28
299998,892
114093,313
112725,446
107098,762
243194,278
169966,809
46463,928
279432,184
252513,476
255655,928
136350,255
285312,863
77372,508
229632,707
244899,742
238461,461
338179,649
93436,679
26639,94
190204,337
55589,932
152684,273
71516,496
221650,758
310405,155
288325,81
111134,253
188103,47
48949,407
158159,550
210337,594
302510,167
163163,554
204676,542
357351,162
96678,486
166273,285
345888,440
374937,695
333561,601
363102,82
300508,240
175535,330
33146,476
249176,67
93026,195
74972,250
208436,559
360207,509
128938,781
321268,186
245326,660
352377,796
216581,87
209521,702
372479,805
311812,545
293549,672
214963,914
178042,620
68022,698
50242,939
73689,918
246710,265
31106,217
249918,899
265245,20
161368,362
94045,874
8502,2
267463,691
166355,401
37871,806
170357,900
163696,633
51820,823
342357,667
145750,136
266380,52
189800,987
343144,9
377913,196
149870,530
111329,816
117276,738
268511,628
68554,487
252865,459
186413,192
344850,659
4991,830
111353,880
142965,489
371248,894
42556,12
275132,134
266319,815
247708,661
5680,544
274167,862
82164,70
354953,289
190374,283
344487,561
170506,27
374395,540
335675,873
340195,5
315489,883
40836,956
153297,739
33454,259
127344,402
276021,727
152809,713
262695,671
92654,27
295830,915
207478,990
135937,77
225655,351
234720,921
304260,19
205789,261
289093,753
180365,935
375869,912
381179,69
333657,527
390222,887
313091,255
90785,864
106514,545
328601,751
16333,82
262906,300
294607,658
183884,53
103156,226
396814,840
382257,266
62378,636
129777,183
141663,185
329224,875
14881,509
43645,92
23990,141
206920,915
170839,870
67915,240
277015,710
64292,735
68621,85
94230,396
267792,662
162448,879
58095,69
121081,155
139357,24
51953,750
343101,101
17214,442
387210,70
222161,936
150601,184
146506,362
231893,532
290206,968
23354,852
248387,428
293076,678
364747,318
193410,943
116292,483
17649,887
276417,951
184528,849
43731,411
65432,394
234425,456
212614,823
227972,660
20170,917
74082,854
166670,449
128863,48
324764,396
144833,516
383177,362
104678,563
91201,463
39142,728
115639,307
345131,403
363261,629
182953,427
1962,450
339340,384
109020,383
320045,181
164732,176
166085,283
327011,945
365615,727
229370,724
25521,440
344676,591
103536,65
111734,436
350216,879
297828,669
287278,253
55027,227
14906,109
348012,366
194033,748
4165,802
146039,666
285241,727
350588,785
342361,782
54941,672
56697,721
237599,328
50815,841
356261,13
312098,969
92596,611
140127,791
110709,43
290349,932
141473,422
226197,342
6616,912
249582,732
196999,28
79975,701
161476,248
93793,138
75310,911
93752,787
104107,292
301774,149
70851,773
129427,266
42458,702
304717,185
55709,388
323146,499
318950,997
62599,174
83136,146
205540,691
239706,945
249988,948
190793,370
361380,241
393145,55
323572,287
225833,231
383561,219
126505,328
292720,554
176642,194
140051,44
397759,790
303345,193
76566,247
66984,480
113962,271
194374,731
56957,686
248094,593
46207,337
393035,29
321759,538
293797,427
