campaign_id,deal_id
1,3930
2,1757
3,3367
4,1531
5,2063
6,3673
7,4795
8,3763
9,1917
10,617
11,906
12,3990
13,3611
14,4935
15,3261
16,3335
17,132
18,607
19,193
20,534
1,3513
2,4734
3,4584
4,2402
5,907
6,2570
7,4947
8,1648
9,3621
10,3598
11,3799
12,4473
13,4078
14,911
15,1897
16,1789
17,3350
18,2575
19,2437
20,3
1,1342
2,1010
3,165
4,2871
5,3537
6,4594
7,1121
8,4952
9,3176
10,2250
11,1059
12,1815
13,3498
14,2722
15,4911
16,1543
17,4522
18,3183
19,566
20,4078
1,1100
2,2121
3,494
4,4349
5,4436
6,680
7,2427
8,1903
9,4893
10,2081
11,2056
12,1138
13,3614
14,3891
15,294
16,3673
17,2784
18,1207
19,2293
20,4511
1,1374
2,1839
3,1375
4,4530
5,204
6,2585
7,194
8,2472
9,3895
10,1039
11,4983
12,126
13,1782
14,2044
15,840
16,1182
17,611
18,1542
19,2928
20,334
1,4635
2,4489
3,4324
4,400
5,2544
6,3712
7,3412
8,688
9,252
10,3239
11,207
12,3094
13,4816
14,1047
15,2770
16,810
17,1005
18,1355
19,989
20,155
1,3062
2,2470
3,1832
4,1775
5,504
6,3496
7,2972
8,846
9,635
10,218
11,4371
12,2224
13,1998
14,4359
15,3291
16,3755
17,3417
18,863
19,1378
20,4430
1,2337
2,3739
3,2924
4,3795
5,2164
6,4548
7,4157
8,1768
9,1243
10,2569
11,3636
12,467
13,4753
14,3253
15,4976
16,3
17,1359
18,4444
19,2891
20,2866
1,4637
2,4820
3,860
4,1946
5,2018
6,2100
7,710
8,2911
9,2377
10,3941
11,683
12,31
13,2635
14,1939
15,2913
16,3560
17,4616
18,2545
19,4641
20,4498
1,3949
2,3562
3,2168
4,4454
5,1348
6,3802
7,3408
8,2509
9,443
10,1980
11,369
12,2516
13,4513
14,2659
15,55
16,2457
17,4301
18,2900
19,4959
20,3747
1,4916
2,2961
3,3309
4,1486
5,1766
6,1813
7,2223
8,1251
9,87
10,41
11,722
12,4617
13,558
14,3708
15,2178
16,2027
17,2917
18,2432
19,1316
20,789
1,356
2,2347
3,3370
4,1868
5,3730
6,2633
7,1686
8,419
9,4383
10,3108
11,1405
12,4404
13,4942
14,4606
15,3556
16,651
17,1620
18,4223
19,78
20,1438
1,3259
2,849
3,2240
4,3169
5,3586
6,2471
7,4230
8,2012
9,1932
10,2750
11,1973
12,97
13,4413
14,4272
15,751
16,3386
17,527
18,1760
19,337
20,1038
1,4099
2,1875
3,706
4,1794
5,3190
6,1867
7,3467
8,4037
9,363
10,814
11,299
12,2396
13,1646
14,1677
15,3410
16,4414
17,3855
18,3537
19,4093
20,195
1,2505
2,1708
3,4700
4,4502
5,15
6,3842
7,4282
8,158
9,646
10,1232
11,2427
12,3669
13,903
14,735
15,496
16,4927
17,978
18,760
19,145
20,796
1,4839
2,3857
3,213
4,236
5,662
6,4816
7,4032
8,805
9,4150
10,4047
11,791
12,2076
13,414
14,3882
15,4272
16,1399
17,1022
18,4468
19,4115
20,1266
1,705
2,3815
3,855
4,971
5,4144
6,1137
7,4886
8,3405
9,1088
10,2057
11,3722
12,3233
13,1762
14,207
15,2521
16,4155
17,2608
18,1712
19,451
20,4796
1,2784
2,2402
3,3241
4,3820
5,4606
6,333
7,2285
8,3109
9,2611
10,1
11,3130
12,1708
13,3856
14,176
15,1233
16,3839
17,3375
18,2418
19,2654
20,630
1,3349
2,1930
3,1199
4,3032
5,3180
6,3180
7,3011
8,1987
9,738
10,4818
11,3353
12,723
13,2253
14,4255
15,2407
16,426
17,3439
18,1791
19,1632
20,3352
1,1442
2,3578
3,1835
4,2884
5,1930
6,3734
7,1517
8,4165
9,1718
10,1951
11,2244
12,3742
13,1440
14,4517
15,3935
16,4458
17,2969
18,2638
19,749
20,2915
1,573
2,2374
3,637
4,4160
5,1380
6,4174
7,2949
8,3460
9,1984
10,4260
11,2820
12,1443
13,2976
14,822
15,1349
16,1839
17,1979
18,749
19,1840
20,3796
1,1548
2,824
3,3153
4,3856
5,2537
6,2103
7,4455
8,2313
9,3349
10,4750
11,2574
12,4881
13,356
14,3100
15,522
16,3479
17,1486
18,3525
19,4063
20,1356
1,1338
2,371
3,3916
4,2711
5,307
6,4257
7,3598
8,4886
9,2987
10,2899
11,1930
12,2874
13,310
14,3177
15,943
16,2469
17,1424
18,4446
19,4666
20,2868
1,549
2,4226
3,161
4,2330
5,2146
6,1817
7,1540
8,909
9,2198
10,3585
11,900
12,2432
13,3696
14,195
15,2399
16,1993
17,1944
18,2039
19,4634
20,4619
1,4864
2,1739
3,3344
4,908
5,1351
6,992
7,1657
8,2109
9,1610
10,4955
11,1462
12,318
13,3622
14,4713
15,2054
16,2896
17,1297
18,3221
19,1026
20,2811
1,2624
2,3869
3,540
4,4701
5,552
6,4195
7,2039
8,3665
9,807
10,3596
11,1716
12,1115
13,3431
14,4984
15,2827
16,3094
17,3457
18,4553
19,4371
20,4066
1,571
2,255
3,2189
4,1829
5,3535
6,3559
7,4782
8,3336
9,2998
10,3193
11,2134
12,2017
13,4578
14,1254
15,4380
16,1301
17,949
18,2208
19,3859
20,3336
1,2762
2,4429
3,4650
4,1600
5,4007
6,1009
7,969
8,2500
9,3430
10,4924
11,1614
12,2161
13,3324
14,3978
15,3447
16,1025
17,4530
18,1016
19,3629
20,1499
1,2202
2,4326
3,3182
4,4674
5,4408
6,1110
